abbrev	cat_url
AFR	https://catalog.wellesley.edu/courses.php?pos=1&doc_type=afr+-+africana+studies+courses
SWA	https://catalog.wellesley.edu/courses.php?pos=1&doc_type=swa+-+swahili+courses
AMST	https://catalog.wellesley.edu/courses.php?pos=2&doc_type=amst+-+american+studies+courses
ANTH	https://catalog.wellesley.edu/courses.php?pos=3&doc_type=anth+-+anthropology+courses
ARCH	https://catalog.wellesley.edu/courses.php?pos=5&doc_type=arch+-+architecture+courses
ARTH	https://catalog.wellesley.edu/courses.php?pos=6&doc_type=arth+-+art+history+courses
ASTR	https://catalog.wellesley.edu/courses.php?pos=8&doc_type=astr+-+astronomy+courses
ASPH	https://catalog.wellesley.edu/courses.php?pos=9&doc_type=asph+-+astrophysics+courses
BIOC	https://catalog.wellesley.edu/courses.php?pos=13&doc_type=bioc+-+biochemistry+courses
BISC	https://catalog.wellesley.edu/courses.php?pos=14&doc_type=bisc+-+biological+sciences+courses
CHPH	https://catalog.wellesley.edu/courses.php?pos=16&doc_type=chph+-+chemical+physics+courses
CHEM	https://catalog.wellesley.edu/courses.php?pos=17&doc_type=chem+-+chemistry+courses
CHIN	https://catalog.wellesley.edu/courses.php?pos=26&doc_type=chin+-+chinese+language+and+culture+courses
CAMS	https://catalog.wellesley.edu/courses.php?pos=19&doc_type=cams+-+cinema+and+media+studies+courses
CLCV	https://catalog.wellesley.edu/courses.php?pos=21&doc_type=clcv+-+classical+civilization+courses
CLST	https://catalog.wellesley.edu/courses.php?pos=21&doc_type=clst+-+classics+courses
GRK	https://catalog.wellesley.edu/courses.php?pos=21&doc_type=grk+-+greek+courses
LAT	https://catalog.wellesley.edu/courses.php?pos=21&doc_type=lat+-+latin+courses
CLSC	https://catalog.wellesley.edu/courses.php?pos=22&doc_type=clsc+-+cognitive+and+linguistic+sciences+courses
LING	https://catalog.wellesley.edu/courses.php?pos=22&doc_type=ling+-+linguistics+courses
CPLT	https://catalog.wellesley.edu/courses.php?pos=23&doc_type=cplt+-+comparative+literature+courses
CS	https://catalog.wellesley.edu/courses.php?pos=25&doc_type=cs+-+computer+science+courses
DS	https://catalog.wellesley.edu/courses.php?pos=87&doc_type=ds+-+data+science+courses
EALC	https://catalog.wellesley.edu/courses.php?pos=26&doc_type=ealc+-+east+asian+languages+and+cultures+courses
ECON	https://catalog.wellesley.edu/courses.php?pos=28&doc_type=econ+-+economics+courses
EDUC	https://catalog.wellesley.edu/courses.php?pos=29&doc_type=educ+-+education+studies+courses
ENG	https://catalog.wellesley.edu/courses.php?pos=32&doc_type=eng+-+english+courses
ES	https://catalog.wellesley.edu/courses.php?pos=33&doc_type=es+-+environmental+studies+courses
FREN	https://catalog.wellesley.edu/courses.php?pos=35&doc_type=fren+-+french+courses
FRST	https://catalog.wellesley.edu/courses.php?pos=36&doc_type=frst+-+french+cultural+studies+courses
GEOS	https://catalog.wellesley.edu/courses.php?pos=37&doc_type=geos+-+geosciences+courses
GER	https://catalog.wellesley.edu/courses.php?pos=38&doc_type=ger+-+german+studies+courses
PORT	https://catalog.wellesley.edu/courses.php?pos=73&doc_type=port%20-%20portuguese%20courses
HIST	https://catalog.wellesley.edu/courses.php?pos=43&doc_type=hist+-+history+courses
IREC	https://catalog.wellesley.edu/courses.php?pos=44&doc_type=irec+-+international+relations+-+economics+courses
IRPS	https://catalog.wellesley.edu/courses.php?pos=46&doc_type=irps+-+international+relations+-+political+science+courses
ITAS	https://catalog.wellesley.edu/courses.php?pos=47&doc_type=itas+-+italian+studies+courses
JPN	https://catalog.wellesley.edu/courses.php?pos=26&doc_type=jpn+-+japanese+language+and+culture+courses
JWST	https://catalog.wellesley.edu/courses.php?pos=49&doc_type=jwst+-+jewish+studies+courses
KOR	https://catalog.wellesley.edu/courses.php?pos=26&doc_type=kor+-+korean+language+and+culture+courses
LAST	https://catalog.wellesley.edu/courses.php?pos=52&doc_type=last+-+latin+american+studies+courses
MATH	https://catalog.wellesley.edu/courses.php?pos=54&doc_type=math+-+mathematics+courses
MAS	https://catalog.wellesley.edu/courses.php?pos=55&doc_type=mas+-+media+arts+and+sciences+courses
MER	https://catalog.wellesley.edu/courses.php?pos=56&doc_type=mer+-+medieval%2frenaissance+studies+courses
MES	https://catalog.wellesley.edu/courses.php?pos=57&doc_type=mes+-+middle+eastern+studies+courses
MUS	https://catalog.wellesley.edu/courses.php?pos=58&doc_type=mus+-+music+courses
NEUR	https://catalog.wellesley.edu/courses.php?pos=59&doc_type=neur+-+neuroscience+courses
PEAC	https://catalog.wellesley.edu/courses.php?pos=60&doc_type=peac+-+peace+and+justice+studies+courses
PHIL	https://catalog.wellesley.edu/courses.php?pos=61&doc_type=phil+-+philosophy+courses
PHYS	https://catalog.wellesley.edu/courses.php?pos=62&doc_type=phys+-+physics+courses
PHYS	https://catalog.wellesley.edu/courses.php?pos=62&doc_type=phys+-+physics+courses
POL	https://catalog.wellesley.edu/courses.php?pos=63&doc_type=pol+-+political+science+courses
PSYC	https://catalog.wellesley.edu/courses.php?pos=65&doc_type=psyc+-+psychology+courses
REL	https://catalog.wellesley.edu/courses.php?pos=68&doc_type=rel+-+religion+courses
RUSS	https://catalog.wellesley.edu/courses.php?pos=69&doc_type=russ+-+russian+courses
RAST	https://catalog.wellesley.edu/courses.php?pos=70&doc_type=rast+-+russian+area+studies+courses
SOC	https://catalog.wellesley.edu/courses.php?pos=71&doc_type=soc+-+sociology+courses
SAS	https://catalog.wellesley.edu/courses.php?pos=72&doc_type=sas+-+south+asia+studies+courses
SPAN	https://catalog.wellesley.edu/courses.php?pos=73&doc_type=span+-+spanish+courses
STAT	https://catalog.wellesley.edu/courses.php?pos=54&doc_type=stat+-+statistics+courses
ARTS	https://catalog.wellesley.edu/courses.php?pos=75&doc_type=arts+-+studio+art+courses
THST	https://catalog.wellesley.edu/courses.php?pos=80&doc_type=thst+-+theatre+studies+courses
WGST	https://catalog.wellesley.edu/courses.php?pos=81&doc_type=wgst+-+women%27s+and+gender+studies+courses