REL	223	Love in Indian Cinema 	1	25	 None	 Shukla-Bhatt	ARS - Visual Arts, Music, Theater, Film and Video	Spring	Fall
SAS	243	Love in Indian Cinema 	1	25	 None	 Shukla-Bhatt	ARS - Visual Arts, Music, Theater, Film and Video	Spring	Fall 
ENG	247	Arthurian Legends 	1	30	 None	 Ingallinella	LL - Language and Literature	Spring	Spring
MER	247	Arthurian Legends 	1	30	 None	 Ingallinella	LL - Language and Literature	Spring	Spring
PEAC	207	Schools and Society 	1	30	None	 Levitt	SBA - Social and Behavioral Analysis		Fall
SOC	207	Schools and Society 	1	30	None	 Levitt	SBA - Social and Behavioral Analysis		Fall
PEAC	312	Sem: Global Social Theory 	1	15	 At least two 200-level or above courses in the social sciences including Peace and Justice Studies.	 Levitt	SBA - Social and Behavioral Analysis		Fall
SOC	312	Sem: Global Social Theory 	1	15	 At least two 200-level or above courses in the social sciences including Peace and Justice Studies.	 Levitt	SBA - Social and Behavioral Analysis		Fall
MATH	123	Mathematics and Politics	1	15	None.	Volic	
PEAC	358	Palestine Israel Peace Prosps 	1	15	PEAC 104 or PEAC 217/POL2 217 or PEAC 204 or permission of the instructor.	Hajj	SBA - Social and Behavioral Analysis	Fall and Spring	Fall
POL2	359	Palestine Israel Peace Prosps 	1	15	PEAC 104 or PEAC 217/POL2 217 or PEAC 204 or permission of the instructor.	Hajj	SBA - Social and Behavioral Analysis	Fall and Spring	Fall
PHYS	250G	Research or Group Study	1	25	Permission of the instructor			Spring; Fall	Fall; Spring
PSYC	123Y	FYS: Mind and the Media	1	15	None. Open to First-Years only.	Pyers	EC - Epistemology and Cognition	Spring	Not Offered
EDUC	334	Sem: Race, Migration, Borders	1	12	Permission of the instructor required. Intended for EDUC majors or minors in Junior or Senior year.	Hong	SBA - Social and Behavioral Analysis	Spring	Fall
MUS	200	Topics in Music History I	1	10	MUS 100	Fontijn	ARS - Visual Arts, Music, Theater, Film and Video	Fall	Not Offered
CLSC	300	Sem: Topics Cognitive & Linguistic Sciences	1	15	Open to Juniors and Seniors who have taken one of the following - PSYC 214, PSYC 215, CLSC/PSYC 216, PSYC 217, PSYC 218, PSYC 219, LING 114, PHIL 215, or CS 111; or permission of the instructor.	Yoolim Kim	EC - Epistemology and Cognition; SBA - Social and Behavioral Analysis	Spring	Spring
PSYC	300	Sem: Topics Cognitive & Linguistic Sciences	1	15	Open to Juniors and Seniors who have taken one of the following - PSYC 214, PSYC 215, CLSC/PSYC 216, PSYC 217, PSYC 218, PSYC 219, LING 114, PHIL 215, or CS 111; or permission of the instructor.	Yoolim Kim	EC - Epistemology and Cognition; SBA - Social and Behavioral Analysis	Spring	Spring
ENG	206	Non-Fiction Writing	1	15		Sides	LL - Language and Literature	Fall	
ENG	273	The Modern British Novel	1	25	None	Rodensky	LL - Language and Literature	Spring	Fall
ENG	324	Adv. Studies in Shakespeare	1	15	Open to all students who have taken two literature courses in the department, at least one of which must be 200 level, OR by permission of the instructor to other qualified students.	Ko	LL - Language and Literature; ARS - Visual Arts, Music, Theater, Film and Video	Spring	
ENG	387	Authors	1	15	Open to all students who have taken two literature courses in the department, at least one of which must be 200 level, OR by permission of the instructor to other qualified students.	Cain	LL - Language and Literature; ARS - Visual Arts, Music, Theater, Film and Video	Spring	
FREN	209	Studies in Literature and Film	1	14	FREN 202, FREN 203, or FREN 205, or an equivalent departmental placement score.	Petterson	LL - Language and Literature		Fall
MATH	303	Topics in Analysis	1	15	MATH 302	S.Chang	MM - Mathematical Modeling and Problem Solving	Spring	Spring
MATH	349	Selected Topics	1	15	MATH 305 or permission of instructor	C. Chan	MM - Mathematical Modeling and Problem Solving	Fall	Spring
MUS	201	Topics in Music History II	1	18	MUS 100	Bhogal	ARS - Visual Arts, Music, Theater, Film and Video	Spring	Spring
MUS	202	Topics in Music History III	1	18	MUS 100	Bhogal	ARS - Visual Arts, Music, Theater, Film and Video	Spring	Fall
MUS	300	Seminar Topics	1	15	MUS 100 or permission of the instructor.	Graham; Goldschmitt	ARS - Visual Arts, Music, Theater, Film and Video	Spring; Fall	